transaction_id,account_id,timestamp,amount,daily_total_before_txn,daily_limit,tx_count_2min,beneficiary_age_days,is_new_device,is_new_location,failed_login_count_1h,hour_of_day,merchant_risk_score,account_age_days,avg_amount_30d,risk_type,is_fraud,total_after_txn,daily_limit_utilization,amount_to_avg_ratio,daily_limit_breach,large_amount_anomaly,velocity_spike,new_beneficiary_risk,account_takeover_signal,high_merchant_risk,suspicious_hour_activity,failed_login_risk,rule_risk_score,reason_codes,rule_action,rule_action_code,ml_fraud_probability,ml_fraud_score,model_confidence,predicted_fraud,final_risk_score,final_action,final_action_code,final_reason
TXN_000010,ACC_0211,2026-07-01 00:02:35,3432.49,20947.9,50000.0,7,298,0,0,1,0,59,1800,2254.71,VELOCITY_SPIKE,1,24380.39,0.4876078,1.5223642951865206,0,0,1,0,0,0,1,0,25,VELOCITY_SPIKE|SUSPICIOUS_HOUR_ACTIVITY,WARN,1,0.8996679584114875,90,90,1,61,BLOCK,2,RULE_WARN|VELOCITY_SPIKE|SUSPICIOUS_HOUR_ACTIVITY|HIGH_CONFIDENCE_ML_FRAUD|ML_PREDICTED_FRAUD
TXN_000011,ACC_0080,2026-07-01 00:02:55,1176.97,8021.76,50000.0,1,62,0,0,0,0,14,2352,1375.78,NORMAL,0,9198.73,0.1839746,0.855492884036692,0,0,0,0,0,0,1,0,5,SUSPICIOUS_HOUR_ACTIVITY,ALLOW,0,0.0246192807192807,2,98,0,3,ALLOW,0,LOW_RISK_SIGNAL_MONITORED|SUSPICIOUS_HOUR_ACTIVITY
TXN_000012,ACC_0040,2026-07-01 00:03:25,985.98,35132.1,200000.0,3,309,0,0,0,0,25,438,959.43,NORMAL,0,36118.08,0.1805904,1.0276726806541383,0,0,0,0,0,0,1,0,5,SUSPICIOUS_HOUR_ACTIVITY,ALLOW,0,0.0041681569168294,0,100,0,2,ALLOW,0,LOW_RISK_SIGNAL_MONITORED|SUSPICIOUS_HOUR_ACTIVITY
TXN_000013,ACC_0065,2026-07-01 00:03:35,6148.56,69247.38,100000.0,4,3,1,1,8,0,60,834,1781.35,ACCOUNT_TAKEOVER,1,75395.94,0.7539594000000001,3.451629382210122,0,0,0,1,1,0,1,1,60,NEW_BENEFICIARY_RISK|ACCOUNT_TAKEOVER_SIGNAL|SUSPICIOUS_HOUR_ACTIVITY|FAILED_LOGIN_RISK,BLOCK,2,0.9992,100,100,1,97,LOCK,3,RULE_BLOCK|NEW_BENEFICIARY_RISK|ACCOUNT_TAKEOVER_SIGNAL|SUSPICIOUS_HOUR_ACTIVITY|FAILED_LOGIN_RISK|HIGH_CONFIDENCE_ML_FRAUD|ML_PREDICTED_FRAUD|ATO_SECURITY_OVERRIDE
TXN_000014,ACC_0209,2026-07-01 00:03:49,192732.5,467343.42,500000.0,5,4,1,1,7,0,91,1953,3020.83,MIXED_RISK,1,660075.9199999999,1.32015184,63.80117384957114,1,1,1,1,1,1,1,1,100,DAILY_LIMIT_BREACH|LARGE_AMOUNT_ANOMALY|VELOCITY_SPIKE|NEW_BENEFICIARY_RISK|ACCOUNT_TAKEOVER_SIGNAL|HIGH_MERCHANT_RISK|SUSPICIOUS_HOUR_ACTIVITY|FAILED_LOGIN_RISK,LOCK,3,1.0,100,100,1,100,LOCK,3,RULE_LOCK|DAILY_LIMIT_BREACH|LARGE_AMOUNT_ANOMALY|VELOCITY_SPIKE|NEW_BENEFICIARY_RISK|ACCOUNT_TAKEOVER_SIGNAL|HIGH_MERCHANT_RISK|SUSPICIOUS_HOUR_ACTIVITY|FAILED_LOGIN_RISK|HIGH_CONFIDENCE_ML_FRAUD|ML_PREDICTED_FRAUD|ATO_SECURITY_OVERRIDE
TXN_000015,ACC_0206,2026-07-01 00:04:26,6547.32,78290.74,200000.0,3,762,0,0,0,0,6,1917,5281.56,NORMAL,0,84838.06,0.4241902999999999,1.2396564651353008,0,0,0,0,0,0,1,0,5,SUSPICIOUS_HOUR_ACTIVITY,ALLOW,0,0.0074425396825396,1,99,0,3,ALLOW,0,LOW_RISK_SIGNAL_MONITORED|SUSPICIOUS_HOUR_ACTIVITY
TXN_000016,ACC_0254,2026-07-01 00:04:28,9878.82,23995.07,100000.0,1,156,0,0,1,0,15,1661,4440.03,NORMAL,0,33873.89,0.3387389,2.2249444260511755,0,0,0,0,0,0,1,0,5,SUSPICIOUS_HOUR_ACTIVITY,ALLOW,0,0.059377282172019,6,94,0,6,ALLOW,0,LOW_RISK_SIGNAL_MONITORED|SUSPICIOUS_HOUR_ACTIVITY
TXN_000017,ACC_0128,2026-07-01 00:04:45,68687.86,41479.12,50000.0,1,44,0,0,0,0,57,1449,1465.43,HIGH_AMOUNT_RISK,1,110166.98,2.2033396,46.87215356584757,1,1,0,0,0,0,1,0,55,DAILY_LIMIT_BREACH|LARGE_AMOUNT_ANOMALY|SUSPICIOUS_HOUR_ACTIVITY,BLOCK,2,0.999979797979798,100,100,1,90,LOCK,3,RULE_BLOCK|DAILY_LIMIT_BREACH|LARGE_AMOUNT_ANOMALY|SUSPICIOUS_HOUR_ACTIVITY|HIGH_CONFIDENCE_ML_FRAUD|ML_PREDICTED_FRAUD
TXN_000018,ACC_0133,2026-07-01 00:04:46,3678.34,80604.33,100000.0,5,1,1,1,8,0,67,1411,737.18,ACCOUNT_TAKEOVER,1,84282.67,0.8428266999999999,4.989744702786294,0,0,1,1,1,0,1,1,80,VELOCITY_SPIKE|NEW_BENEFICIARY_RISK|ACCOUNT_TAKEOVER_SIGNAL|SUSPICIOUS_HOUR_ACTIVITY|FAILED_LOGIN_RISK,LOCK,3,1.0,100,100,1,100,LOCK,3,RULE_LOCK|VELOCITY_SPIKE|NEW_BENEFICIARY_RISK|ACCOUNT_TAKEOVER_SIGNAL|SUSPICIOUS_HOUR_ACTIVITY|FAILED_LOGIN_RISK|HIGH_CONFIDENCE_ML_FRAUD|ML_PREDICTED_FRAUD|ATO_SECURITY_OVERRIDE
TXN_000019,ACC_0263,2026-07-01 00:04:52,269.22,21666.0,50000.0,3,134,0,0,0,0,38,2315,488.1,NORMAL,0,21935.22,0.4387044,0.5515673017824216,0,0,0,0,0,0,1,0,5,SUSPICIOUS_HOUR_ACTIVITY,ALLOW,0,0.0329461975748986,3,97,0,4,ALLOW,0,LOW_RISK_SIGNAL_MONITORED|SUSPICIOUS_HOUR_ACTIVITY
TXN_000020,ACC_0003,2026-07-01 00:04:53,5241.36,63339.18,100000.0,5,0,1,1,3,0,94,1114,1210.86,ACCOUNT_TAKEOVER,1,68580.54,0.6858053999999999,4.328625935285665,0,0,1,1,1,1,1,1,90,VELOCITY_SPIKE|NEW_BENEFICIARY_RISK|ACCOUNT_TAKEOVER_SIGNAL|HIGH_MERCHANT_RISK|SUSPICIOUS_HOUR_ACTIVITY|FAILED_LOGIN_RISK,LOCK,3,0.9998,100,100,1,100,LOCK,3,RULE_LOCK|VELOCITY_SPIKE|NEW_BENEFICIARY_RISK|ACCOUNT_TAKEOVER_SIGNAL|HIGH_MERCHANT_RISK|SUSPICIOUS_HOUR_ACTIVITY|FAILED_LOGIN_RISK|HIGH_CONFIDENCE_ML_FRAUD|ML_PREDICTED_FRAUD|ATO_SECURITY_OVERRIDE
TXN_000021,ACC_0154,2026-07-01 00:05:08,3132.92,12612.68,100000.0,1,156,0,0,0,0,26,1102,4576.66,NORMAL,0,15745.6,0.157456,0.6845428762459961,0,0,0,0,0,0,1,0,5,SUSPICIOUS_HOUR_ACTIVITY,ALLOW,0,6.682358349614987e-05,0,100,0,2,ALLOW,0,LOW_RISK_SIGNAL_MONITORED|SUSPICIOUS_HOUR_ACTIVITY
TXN_000022,ACC_0032,2026-07-01 00:05:12,4421.8,5292.59,100000.0,2,884,0,0,1,0,35,257,6236.95,NORMAL,0,9714.39,0.0971438999999999,0.708968325864405,0,0,0,0,0,0,1,0,5,SUSPICIOUS_HOUR_ACTIVITY,ALLOW,0,0.0,0,100,0,2,ALLOW,0,LOW_RISK_SIGNAL_MONITORED|SUSPICIOUS_HOUR_ACTIVITY
TXN_000023,ACC_0175,2026-07-01 00:05:14,6247.8,4325.25,50000.0,3,823,0,0,0,0,18,1170,4228.72,NORMAL,0,10573.05,0.2114609999999999,1.4774683592198112,0,0,0,0,0,0,1,0,5,SUSPICIOUS_HOUR_ACTIVITY,ALLOW,0,0.0032222222222222,0,100,0,2,ALLOW,0,LOW_RISK_SIGNAL_MONITORED|SUSPICIOUS_HOUR_ACTIVITY
TXN_000024,ACC_0096,2026-07-01 00:05:36,20242.54,69876.86,100000.0,7,462,1,0,1,0,64,621,11097.99,VELOCITY_SPIKE,1,90119.4,0.901194,1.8239825409826464,0,0,1,0,0,0,1,0,25,VELOCITY_SPIKE|SUSPICIOUS_HOUR_ACTIVITY,WARN,1,0.9189623652134852,92,92,1,62,BLOCK,2,RULE_WARN|VELOCITY_SPIKE|SUSPICIOUS_HOUR_ACTIVITY|HIGH_CONFIDENCE_ML_FRAUD|ML_PREDICTED_FRAUD
TXN_000025,ACC_0297,2026-07-01 00:05:42,5349.02,304977.24,500000.0,2,807,1,0,1,0,47,1114,889.13,BENIGN_HIGH_VALUE,0,310326.26,0.62065252,6.016015655753377,0,1,0,0,0,0,1,0,25,LARGE_AMOUNT_ANOMALY|SUSPICIOUS_HOUR_ACTIVITY,WARN,1,0.2188264816366983,22,78,0,23,WARN,1,RULE_WARN|LARGE_AMOUNT_ANOMALY|SUSPICIOUS_HOUR_ACTIVITY
TXN_000026,ACC_0273,2026-07-01 00:05:58,3122.98,24980.84,50000.0,6,6,1,1,8,0,60,2397,1391.12,ACCOUNT_TAKEOVER,1,28103.82,0.5620764,2.244939329461154,0,0,1,0,1,0,1,1,65,VELOCITY_SPIKE|ACCOUNT_TAKEOVER_SIGNAL|SUSPICIOUS_HOUR_ACTIVITY|FAILED_LOGIN_RISK,BLOCK,2,0.9949632756132756,99,99,1,99,LOCK,3,RULE_BLOCK|VELOCITY_SPIKE|ACCOUNT_TAKEOVER_SIGNAL|SUSPICIOUS_HOUR_ACTIVITY|FAILED_LOGIN_RISK|HIGH_CONFIDENCE_ML_FRAUD|ML_PREDICTED_FRAUD|ATO_SECURITY_OVERRIDE
TXN_000027,ACC_0219,2026-07-01 00:06:08,1056.52,36326.0,100000.0,5,1465,0,0,0,0,54,2259,1405.95,BENIGN_VELOCITY,0,37382.52,0.3738251999999999,0.7514634233080835,0,0,1,0,0,0,1,0,25,VELOCITY_SPIKE|SUSPICIOUS_HOUR_ACTIVITY,WARN,1,0.0603417582417582,6,94,0,15,WARN,1,RULE_WARN|VELOCITY_SPIKE|SUSPICIOUS_HOUR_ACTIVITY
TXN_000028,ACC_0020,2026-07-01 00:06:10,14330.37,33761.42,50000.0,6,4,1,1,5,0,85,1265,2240.38,ACCOUNT_TAKEOVER,1,48091.79,0.9618358,6.396401503316402,0,1,1,1,1,1,1,1,100,LARGE_AMOUNT_ANOMALY|VELOCITY_SPIKE|NEW_BENEFICIARY_RISK|ACCOUNT_TAKEOVER_SIGNAL|HIGH_MERCHANT_RISK|SUSPICIOUS_HOUR_ACTIVITY|FAILED_LOGIN_RISK,LOCK,3,1.0,100,100,1,100,LOCK,3,RULE_LOCK|LARGE_AMOUNT_ANOMALY|VELOCITY_SPIKE|NEW_BENEFICIARY_RISK|ACCOUNT_TAKEOVER_SIGNAL|HIGH_MERCHANT_RISK|SUSPICIOUS_HOUR_ACTIVITY|FAILED_LOGIN_RISK|HIGH_CONFIDENCE_ML_FRAUD|ML_PREDICTED_FRAUD|ATO_SECURITY_OVERRIDE
TXN_000029,ACC_0165,2026-07-01 00:06:23,4545.81,21347.47,50000.0,6,1072,0,0,0,0,24,2040,3399.36,BENIGN_VELOCITY,0,25893.28,0.5178656,1.3372546597006496,0,0,1,0,0,0,1,0,25,VELOCITY_SPIKE|SUSPICIOUS_HOUR_ACTIVITY,WARN,1,0.1350659784659784,14,86,0,19,WARN,1,RULE_WARN|VELOCITY_SPIKE|SUSPICIOUS_HOUR_ACTIVITY
TXN_000030,ACC_0205,2026-07-01 00:06:36,5725.44,140924.05,500000.0,5,179,0,0,0,0,31,686,4419.05,BENIGN_VELOCITY,0,146649.49,0.29329898,1.2956268881320645,0,0,1,0,0,0,1,0,25,VELOCITY_SPIKE|SUSPICIOUS_HOUR_ACTIVITY,WARN,1,0.3451334112659001,35,65,0,29,WARN,1,RULE_WARN|VELOCITY_SPIKE|SUSPICIOUS_HOUR_ACTIVITY
TXN_000031,ACC_0075,2026-07-01 00:06:41,1642.83,47503.83,200000.0,2,639,0,0,0,0,39,1204,1170.25,NORMAL,0,49146.66,0.2457333,1.403828241828669,0,0,0,0,0,0,1,0,5,SUSPICIOUS_HOUR_ACTIVITY,ALLOW,0,0.0035104502593116,0,100,0,2,ALLOW,0,LOW_RISK_SIGNAL_MONITORED|SUSPICIOUS_HOUR_ACTIVITY
TXN_000032,ACC_0236,2026-07-01 00:06:50,1825.72,56330.77,200000.0,2,84,1,0,2,0,66,1668,814.97,SUBTLE_FRAUD,1,58156.49,0.2907824499999999,2.240229701706811,0,0,0,0,0,0,1,0,5,SUSPICIOUS_HOUR_ACTIVITY,ALLOW,0,0.9596581363081362,96,96,1,55,BLOCK,2,SUSPICIOUS_HOUR_ACTIVITY|HIGH_CONFIDENCE_ML_FRAUD|ML_PREDICTED_FRAUD
TXN_000033,ACC_0067,2026-07-01 00:06:54,33313.37,29337.54,50000.0,5,0,1,1,8,0,66,945,5044.11,ACCOUNT_TAKEOVER,1,62650.91,1.2530182,6.604409895898385,1,1,1,1,1,0,1,1,100,DAILY_LIMIT_BREACH|LARGE_AMOUNT_ANOMALY|VELOCITY_SPIKE|NEW_BENEFICIARY_RISK|ACCOUNT_TAKEOVER_SIGNAL|SUSPICIOUS_HOUR_ACTIVITY|FAILED_LOGIN_RISK,LOCK,3,0.9993333333333334,100,100,1,100,LOCK,3,RULE_LOCK|DAILY_LIMIT_BREACH|LARGE_AMOUNT_ANOMALY|VELOCITY_SPIKE|NEW_BENEFICIARY_RISK|ACCOUNT_TAKEOVER_SIGNAL|SUSPICIOUS_HOUR_ACTIVITY|FAILED_LOGIN_RISK|HIGH_CONFIDENCE_ML_FRAUD|ML_PREDICTED_FRAUD|ATO_SECURITY_OVERRIDE
TXN_000034,ACC_0012,2026-07-01 00:07:41,1076.63,38030.79,100000.0,3,997,0,0,0,0,20,1847,1272.15,NORMAL,0,39107.42,0.3910742,0.8463074322996502,0,0,0,0,0,0,1,0,5,SUSPICIOUS_HOUR_ACTIVITY,ALLOW,0,0.002,0,100,0,2,ALLOW,0,LOW_RISK_SIGNAL_MONITORED|SUSPICIOUS_HOUR_ACTIVITY
TXN_000035,ACC_0153,2026-07-01 00:07:44,1198.82,44379.14,200000.0,1,136,0,1,0,0,41,755,854.35,NORMAL,0,45577.96,0.2278898,1.4031954117165095,0,0,0,0,0,0,1,0,5,SUSPICIOUS_HOUR_ACTIVITY,ALLOW,0,0.0730606245537677,7,93,0,6,ALLOW,0,LOW_RISK_SIGNAL_MONITORED|SUSPICIOUS_HOUR_ACTIVITY
TXN_000036,ACC_0178,2026-07-01 00:07:51,1044.0,29707.42,200000.0,3,871,0,0,0,0,20,2254,831.82,NORMAL,0,30751.42,0.1537570999999999,1.2550792238705488,0,0,0,0,0,0,1,0,5,SUSPICIOUS_HOUR_ACTIVITY,ALLOW,0,0.0035555555555555,0,100,0,2,ALLOW,0,LOW_RISK_SIGNAL_MONITORED|SUSPICIOUS_HOUR_ACTIVITY
TXN_000037,ACC_0187,2026-07-01 00:08:01,1066.17,87986.04,200000.0,1,62,0,0,0,0,28,971,1066.84,NORMAL,0,89052.20999999999,0.4452610499999999,0.9993719770537288,0,0,0,0,0,0,1,0,5,SUSPICIOUS_HOUR_ACTIVITY,ALLOW,0,0.0413130952380952,4,96,0,4,ALLOW,0,LOW_RISK_SIGNAL_MONITORED|SUSPICIOUS_HOUR_ACTIVITY
TXN_000038,ACC_0256,2026-07-01 00:08:12,1985.35,44876.21,500000.0,1,259,0,0,0,0,36,1703,3600.63,NORMAL,0,46861.56,0.09372312,0.5513896179279737,0,0,0,0,0,0,1,0,5,SUSPICIOUS_HOUR_ACTIVITY,ALLOW,0,0.0013513501941404,0,100,0,2,ALLOW,0,LOW_RISK_SIGNAL_MONITORED|SUSPICIOUS_HOUR_ACTIVITY
TXN_000039,ACC_0273,2026-07-01 00:08:16,1554.64,5646.64,50000.0,1,477,0,0,0,0,19,2397,1391.12,NORMAL,0,7201.280000000001,0.1440256,1.1175455747886596,0,0,0,0,0,0,1,0,5,SUSPICIOUS_HOUR_ACTIVITY,ALLOW,0,0.001,0,100,0,2,ALLOW,0,LOW_RISK_SIGNAL_MONITORED|SUSPICIOUS_HOUR_ACTIVITY
TXN_000040,ACC_0269,2026-07-01 00:08:34,7197.5,17751.18,50000.0,2,702,0,0,0,0,25,1489,6332.35,NORMAL,0,24948.68,0.4989736,1.136623844228446,0,0,0,0,0,0,1,0,5,SUSPICIOUS_HOUR_ACTIVITY,ALLOW,0,0.0112315906315906,1,99,0,3,ALLOW,0,LOW_RISK_SIGNAL_MONITORED|SUSPICIOUS_HOUR_ACTIVITY
TXN_000041,ACC_0132,2026-07-01 00:09:12,2179.99,6511.3,100000.0,5,420,0,0,0,0,37,253,3498.7,BENIGN_VELOCITY,0,8691.29,0.0869129,0.6230857175522336,0,0,1,0,0,0,1,0,25,VELOCITY_SPIKE|SUSPICIOUS_HOUR_ACTIVITY,WARN,1,0.0351510620098855,4,96,0,13,WARN,1,RULE_WARN|VELOCITY_SPIKE|SUSPICIOUS_HOUR_ACTIVITY
TXN_000042,ACC_0028,2026-07-01 00:09:17,17707.71,25308.27,100000.0,1,65,0,1,2,0,67,1377,7550.81,SUBTLE_FRAUD,1,43015.98,0.4301598,2.34514045512998,0,0,0,0,0,0,1,0,5,SUSPICIOUS_HOUR_ACTIVITY,ALLOW,0,0.9755822523881348,98,98,1,56,BLOCK,2,SUSPICIOUS_HOUR_ACTIVITY|HIGH_CONFIDENCE_ML_FRAUD|ML_PREDICTED_FRAUD
TXN_000043,ACC_0088,2026-07-01 00:09:27,14278.34,43064.37,50000.0,6,1,0,0,2,0,69,1926,556.1,MIXED_RISK,1,57342.71000000001,1.1468542000000002,25.67584966732602,1,1,1,1,0,0,1,0,90,DAILY_LIMIT_BREACH|LARGE_AMOUNT_ANOMALY|VELOCITY_SPIKE|NEW_BENEFICIARY_RISK|SUSPICIOUS_HOUR_ACTIVITY,LOCK,3,0.998346256684492,100,100,1,100,LOCK,3,RULE_LOCK|DAILY_LIMIT_BREACH|LARGE_AMOUNT_ANOMALY|VELOCITY_SPIKE|NEW_BENEFICIARY_RISK|SUSPICIOUS_HOUR_ACTIVITY|HIGH_CONFIDENCE_ML_FRAUD|ML_PREDICTED_FRAUD
TXN_000044,ACC_0241,2026-07-01 00:09:39,2407.23,13630.65,100000.0,3,6,1,0,2,0,56,1472,929.93,SUBTLE_FRAUD,1,16037.88,0.1603788,2.588614196767499,0,0,0,0,0,0,1,0,5,SUSPICIOUS_HOUR_ACTIVITY,ALLOW,0,0.9793522252257546,98,98,1,56,BLOCK,2,SUSPICIOUS_HOUR_ACTIVITY|HIGH_CONFIDENCE_ML_FRAUD|ML_PREDICTED_FRAUD
TXN_000045,ACC_0257,2026-07-01 00:09:48,2044.98,7863.71,50000.0,2,344,0,0,1,0,16,285,2075.5,NORMAL,0,9908.69,0.1981738,0.9852951096121416,0,0,0,0,0,0,1,0,5,SUSPICIOUS_HOUR_ACTIVITY,ALLOW,0,0.0022945638432364,0,100,0,2,ALLOW,0,LOW_RISK_SIGNAL_MONITORED|SUSPICIOUS_HOUR_ACTIVITY
TXN_000046,ACC_0152,2026-07-01 00:10:03,6168.3,12424.09,50000.0,1,437,0,0,0,0,24,2296,8376.55,NORMAL,0,18592.39,0.3718478,0.7363771481099022,0,0,0,0,0,0,1,0,5,SUSPICIOUS_HOUR_ACTIVITY,ALLOW,0,0.0012544217687074,0,100,0,2,ALLOW,0,LOW_RISK_SIGNAL_MONITORED|SUSPICIOUS_HOUR_ACTIVITY
TXN_000047,ACC_0013,2026-07-01 00:10:05,1729.24,8360.21,100000.0,3,611,0,0,0,0,21,1910,1504.76,NORMAL,0,10089.45,0.1008944999999999,1.1491799356708046,0,0,0,0,0,0,1,0,5,SUSPICIOUS_HOUR_ACTIVITY,ALLOW,0,0.0,0,100,0,2,ALLOW,0,LOW_RISK_SIGNAL_MONITORED|SUSPICIOUS_HOUR_ACTIVITY
TXN_000048,ACC_0071,2026-07-01 00:10:08,10302.83,21800.21,50000.0,3,5,1,1,3,0,93,497,1535.92,ACCOUNT_TAKEOVER,1,32103.04,0.6420608,6.707920985467993,0,1,0,1,1,1,1,1,90,LARGE_AMOUNT_ANOMALY|NEW_BENEFICIARY_RISK|ACCOUNT_TAKEOVER_SIGNAL|HIGH_MERCHANT_RISK|SUSPICIOUS_HOUR_ACTIVITY|FAILED_LOGIN_RISK,LOCK,3,0.9917595704948646,99,99,1,100,LOCK,3,RULE_LOCK|LARGE_AMOUNT_ANOMALY|NEW_BENEFICIARY_RISK|ACCOUNT_TAKEOVER_SIGNAL|HIGH_MERCHANT_RISK|SUSPICIOUS_HOUR_ACTIVITY|FAILED_LOGIN_RISK|HIGH_CONFIDENCE_ML_FRAUD|ML_PREDICTED_FRAUD|ATO_SECURITY_OVERRIDE
TXN_000049,ACC_0219,2026-07-01 00:10:15,642.5,25286.94,100000.0,2,397,0,0,1,0,37,2259,1405.95,NORMAL,0,25929.44,0.2592944,0.4569863793164764,0,0,0,0,0,0,1,0,5,SUSPICIOUS_HOUR_ACTIVITY,ALLOW,0,0.0057747835497835,1,99,0,3,ALLOW,0,LOW_RISK_SIGNAL_MONITORED|SUSPICIOUS_HOUR_ACTIVITY
