audit_id,transaction_id,timestamp,severity,decision_source,amount,rule_risk_score,ml_fraud_score,model_confidence,final_risk_score,rule_action,final_action,final_reason,risk_type,is_fraud
AUD_TXN_000010,TXN_000010,2026-07-01T00:02:35,HIGH,ML_AND_RULE_ENGINE,3432.49,25,90,90,61,WARN,BLOCK,RULE_WARN|VELOCITY_SPIKE|SUSPICIOUS_HOUR_ACTIVITY|HIGH_CONFIDENCE_ML_FRAUD|ML_PREDICTED_FRAUD,VELOCITY_SPIKE,1
AUD_TXN_000011,TXN_000011,2026-07-01T00:02:55,LOW,RULE_ENGINE_MONITORED,1176.97,5,2,98,3,ALLOW,ALLOW,LOW_RISK_SIGNAL_MONITORED|SUSPICIOUS_HOUR_ACTIVITY,NORMAL,0
AUD_TXN_000012,TXN_000012,2026-07-01T00:03:25,LOW,RULE_ENGINE_MONITORED,985.98,5,0,100,2,ALLOW,ALLOW,LOW_RISK_SIGNAL_MONITORED|SUSPICIOUS_HOUR_ACTIVITY,NORMAL,0
AUD_TXN_000013,TXN_000013,2026-07-01T00:03:35,CRITICAL,ML_AND_RULE_ENGINE,6148.56,60,100,100,97,BLOCK,LOCK,RULE_BLOCK|NEW_BENEFICIARY_RISK|ACCOUNT_TAKEOVER_SIGNAL|SUSPICIOUS_HOUR_ACTIVITY|FAILED_LOGIN_RISK|HIGH_CONFIDENCE_ML_FRAUD|ML_PREDICTED_FRAUD|ATO_SECURITY_OVERRIDE,ACCOUNT_TAKEOVER,1
AUD_TXN_000014,TXN_000014,2026-07-01T00:03:49,CRITICAL,ML_AND_RULE_ENGINE,192732.5,100,100,100,100,LOCK,LOCK,RULE_LOCK|DAILY_LIMIT_BREACH|LARGE_AMOUNT_ANOMALY|VELOCITY_SPIKE|NEW_BENEFICIARY_RISK|ACCOUNT_TAKEOVER_SIGNAL|HIGH_MERCHANT_RISK|SUSPICIOUS_HOUR_ACTIVITY|FAILED_LOGIN_RISK|HIGH_CONFIDENCE_ML_FRAUD|ML_PREDICTED_FRAUD|ATO_SECURITY_OVERRIDE,MIXED_RISK,1
AUD_TXN_000015,TXN_000015,2026-07-01T00:04:26,LOW,RULE_ENGINE_MONITORED,6547.32,5,1,99,3,ALLOW,ALLOW,LOW_RISK_SIGNAL_MONITORED|SUSPICIOUS_HOUR_ACTIVITY,NORMAL,0
AUD_TXN_000016,TXN_000016,2026-07-01T00:04:28,LOW,RULE_ENGINE_MONITORED,9878.82,5,6,94,6,ALLOW,ALLOW,LOW_RISK_SIGNAL_MONITORED|SUSPICIOUS_HOUR_ACTIVITY,NORMAL,0
AUD_TXN_000017,TXN_000017,2026-07-01T00:04:45,CRITICAL,ML_AND_RULE_ENGINE,68687.86,55,100,100,90,BLOCK,LOCK,RULE_BLOCK|DAILY_LIMIT_BREACH|LARGE_AMOUNT_ANOMALY|SUSPICIOUS_HOUR_ACTIVITY|HIGH_CONFIDENCE_ML_FRAUD|ML_PREDICTED_FRAUD,HIGH_AMOUNT_RISK,1
AUD_TXN_000018,TXN_000018,2026-07-01T00:04:46,CRITICAL,ML_AND_RULE_ENGINE,3678.34,80,100,100,100,LOCK,LOCK,RULE_LOCK|VELOCITY_SPIKE|NEW_BENEFICIARY_RISK|ACCOUNT_TAKEOVER_SIGNAL|SUSPICIOUS_HOUR_ACTIVITY|FAILED_LOGIN_RISK|HIGH_CONFIDENCE_ML_FRAUD|ML_PREDICTED_FRAUD|ATO_SECURITY_OVERRIDE,ACCOUNT_TAKEOVER,1
AUD_TXN_000019,TXN_000019,2026-07-01T00:04:52,LOW,RULE_ENGINE_MONITORED,269.22,5,3,97,4,ALLOW,ALLOW,LOW_RISK_SIGNAL_MONITORED|SUSPICIOUS_HOUR_ACTIVITY,NORMAL,0
AUD_TXN_000020,TXN_000020,2026-07-01T00:04:53,CRITICAL,ML_AND_RULE_ENGINE,5241.36,90,100,100,100,LOCK,LOCK,RULE_LOCK|VELOCITY_SPIKE|NEW_BENEFICIARY_RISK|ACCOUNT_TAKEOVER_SIGNAL|HIGH_MERCHANT_RISK|SUSPICIOUS_HOUR_ACTIVITY|FAILED_LOGIN_RISK|HIGH_CONFIDENCE_ML_FRAUD|ML_PREDICTED_FRAUD|ATO_SECURITY_OVERRIDE,ACCOUNT_TAKEOVER,1
AUD_TXN_000021,TXN_000021,2026-07-01T00:05:08,LOW,RULE_ENGINE_MONITORED,3132.92,5,0,100,2,ALLOW,ALLOW,LOW_RISK_SIGNAL_MONITORED|SUSPICIOUS_HOUR_ACTIVITY,NORMAL,0
AUD_TXN_000022,TXN_000022,2026-07-01T00:05:12,LOW,RULE_ENGINE_MONITORED,4421.8,5,0,100,2,ALLOW,ALLOW,LOW_RISK_SIGNAL_MONITORED|SUSPICIOUS_HOUR_ACTIVITY,NORMAL,0
AUD_TXN_000023,TXN_000023,2026-07-01T00:05:14,LOW,RULE_ENGINE_MONITORED,6247.8,5,0,100,2,ALLOW,ALLOW,LOW_RISK_SIGNAL_MONITORED|SUSPICIOUS_HOUR_ACTIVITY,NORMAL,0
AUD_TXN_000024,TXN_000024,2026-07-01T00:05:36,HIGH,ML_AND_RULE_ENGINE,20242.54,25,92,92,62,WARN,BLOCK,RULE_WARN|VELOCITY_SPIKE|SUSPICIOUS_HOUR_ACTIVITY|HIGH_CONFIDENCE_ML_FRAUD|ML_PREDICTED_FRAUD,VELOCITY_SPIKE,1
AUD_TXN_000025,TXN_000025,2026-07-01T00:05:42,MEDIUM,RULE_ENGINE,5349.02,25,22,78,23,WARN,WARN,RULE_WARN|LARGE_AMOUNT_ANOMALY|SUSPICIOUS_HOUR_ACTIVITY,BENIGN_HIGH_VALUE,0
AUD_TXN_000026,TXN_000026,2026-07-01T00:05:58,CRITICAL,ML_AND_RULE_ENGINE,3122.98,65,99,99,99,BLOCK,LOCK,RULE_BLOCK|VELOCITY_SPIKE|ACCOUNT_TAKEOVER_SIGNAL|SUSPICIOUS_HOUR_ACTIVITY|FAILED_LOGIN_RISK|HIGH_CONFIDENCE_ML_FRAUD|ML_PREDICTED_FRAUD|ATO_SECURITY_OVERRIDE,ACCOUNT_TAKEOVER,1
AUD_TXN_000027,TXN_000027,2026-07-01T00:06:08,MEDIUM,RULE_ENGINE,1056.52,25,6,94,15,WARN,WARN,RULE_WARN|VELOCITY_SPIKE|SUSPICIOUS_HOUR_ACTIVITY,BENIGN_VELOCITY,0
AUD_TXN_000028,TXN_000028,2026-07-01T00:06:10,CRITICAL,ML_AND_RULE_ENGINE,14330.37,100,100,100,100,LOCK,LOCK,RULE_LOCK|LARGE_AMOUNT_ANOMALY|VELOCITY_SPIKE|NEW_BENEFICIARY_RISK|ACCOUNT_TAKEOVER_SIGNAL|HIGH_MERCHANT_RISK|SUSPICIOUS_HOUR_ACTIVITY|FAILED_LOGIN_RISK|HIGH_CONFIDENCE_ML_FRAUD|ML_PREDICTED_FRAUD|ATO_SECURITY_OVERRIDE,ACCOUNT_TAKEOVER,1
AUD_TXN_000029,TXN_000029,2026-07-01T00:06:23,MEDIUM,RULE_ENGINE,4545.81,25,14,86,19,WARN,WARN,RULE_WARN|VELOCITY_SPIKE|SUSPICIOUS_HOUR_ACTIVITY,BENIGN_VELOCITY,0
AUD_TXN_000030,TXN_000030,2026-07-01T00:06:36,MEDIUM,RULE_ENGINE,5725.44,25,35,65,29,WARN,WARN,RULE_WARN|VELOCITY_SPIKE|SUSPICIOUS_HOUR_ACTIVITY,BENIGN_VELOCITY,0
AUD_TXN_000031,TXN_000031,2026-07-01T00:06:41,LOW,RULE_ENGINE_MONITORED,1642.83,5,0,100,2,ALLOW,ALLOW,LOW_RISK_SIGNAL_MONITORED|SUSPICIOUS_HOUR_ACTIVITY,NORMAL,0
AUD_TXN_000032,TXN_000032,2026-07-01T00:06:50,HIGH,ML_ENGINE,1825.72,5,96,96,55,ALLOW,BLOCK,SUSPICIOUS_HOUR_ACTIVITY|HIGH_CONFIDENCE_ML_FRAUD|ML_PREDICTED_FRAUD,SUBTLE_FRAUD,1
AUD_TXN_000033,TXN_000033,2026-07-01T00:06:54,CRITICAL,ML_AND_RULE_ENGINE,33313.37,100,100,100,100,LOCK,LOCK,RULE_LOCK|DAILY_LIMIT_BREACH|LARGE_AMOUNT_ANOMALY|VELOCITY_SPIKE|NEW_BENEFICIARY_RISK|ACCOUNT_TAKEOVER_SIGNAL|SUSPICIOUS_HOUR_ACTIVITY|FAILED_LOGIN_RISK|HIGH_CONFIDENCE_ML_FRAUD|ML_PREDICTED_FRAUD|ATO_SECURITY_OVERRIDE,ACCOUNT_TAKEOVER,1
AUD_TXN_000034,TXN_000034,2026-07-01T00:07:41,LOW,RULE_ENGINE_MONITORED,1076.63,5,0,100,2,ALLOW,ALLOW,LOW_RISK_SIGNAL_MONITORED|SUSPICIOUS_HOUR_ACTIVITY,NORMAL,0
AUD_TXN_000035,TXN_000035,2026-07-01T00:07:44,LOW,RULE_ENGINE_MONITORED,1198.82,5,7,93,6,ALLOW,ALLOW,LOW_RISK_SIGNAL_MONITORED|SUSPICIOUS_HOUR_ACTIVITY,NORMAL,0
AUD_TXN_000036,TXN_000036,2026-07-01T00:07:51,LOW,RULE_ENGINE_MONITORED,1044.0,5,0,100,2,ALLOW,ALLOW,LOW_RISK_SIGNAL_MONITORED|SUSPICIOUS_HOUR_ACTIVITY,NORMAL,0
AUD_TXN_000037,TXN_000037,2026-07-01T00:08:01,LOW,RULE_ENGINE_MONITORED,1066.17,5,4,96,4,ALLOW,ALLOW,LOW_RISK_SIGNAL_MONITORED|SUSPICIOUS_HOUR_ACTIVITY,NORMAL,0
AUD_TXN_000038,TXN_000038,2026-07-01T00:08:12,LOW,RULE_ENGINE_MONITORED,1985.35,5,0,100,2,ALLOW,ALLOW,LOW_RISK_SIGNAL_MONITORED|SUSPICIOUS_HOUR_ACTIVITY,NORMAL,0
AUD_TXN_000039,TXN_000039,2026-07-01T00:08:16,LOW,RULE_ENGINE_MONITORED,1554.64,5,0,100,2,ALLOW,ALLOW,LOW_RISK_SIGNAL_MONITORED|SUSPICIOUS_HOUR_ACTIVITY,NORMAL,0
AUD_TXN_000040,TXN_000040,2026-07-01T00:08:34,LOW,RULE_ENGINE_MONITORED,7197.5,5,1,99,3,ALLOW,ALLOW,LOW_RISK_SIGNAL_MONITORED|SUSPICIOUS_HOUR_ACTIVITY,NORMAL,0
AUD_TXN_000041,TXN_000041,2026-07-01T00:09:12,MEDIUM,RULE_ENGINE,2179.99,25,4,96,13,WARN,WARN,RULE_WARN|VELOCITY_SPIKE|SUSPICIOUS_HOUR_ACTIVITY,BENIGN_VELOCITY,0
AUD_TXN_000042,TXN_000042,2026-07-01T00:09:17,HIGH,ML_ENGINE,17707.71,5,98,98,56,ALLOW,BLOCK,SUSPICIOUS_HOUR_ACTIVITY|HIGH_CONFIDENCE_ML_FRAUD|ML_PREDICTED_FRAUD,SUBTLE_FRAUD,1
AUD_TXN_000043,TXN_000043,2026-07-01T00:09:27,CRITICAL,ML_AND_RULE_ENGINE,14278.34,90,100,100,100,LOCK,LOCK,RULE_LOCK|DAILY_LIMIT_BREACH|LARGE_AMOUNT_ANOMALY|VELOCITY_SPIKE|NEW_BENEFICIARY_RISK|SUSPICIOUS_HOUR_ACTIVITY|HIGH_CONFIDENCE_ML_FRAUD|ML_PREDICTED_FRAUD,MIXED_RISK,1
AUD_TXN_000044,TXN_000044,2026-07-01T00:09:39,HIGH,ML_ENGINE,2407.23,5,98,98,56,ALLOW,BLOCK,SUSPICIOUS_HOUR_ACTIVITY|HIGH_CONFIDENCE_ML_FRAUD|ML_PREDICTED_FRAUD,SUBTLE_FRAUD,1
AUD_TXN_000045,TXN_000045,2026-07-01T00:09:48,LOW,RULE_ENGINE_MONITORED,2044.98,5,0,100,2,ALLOW,ALLOW,LOW_RISK_SIGNAL_MONITORED|SUSPICIOUS_HOUR_ACTIVITY,NORMAL,0
AUD_TXN_000046,TXN_000046,2026-07-01T00:10:03,LOW,RULE_ENGINE_MONITORED,6168.3,5,0,100,2,ALLOW,ALLOW,LOW_RISK_SIGNAL_MONITORED|SUSPICIOUS_HOUR_ACTIVITY,NORMAL,0
AUD_TXN_000047,TXN_000047,2026-07-01T00:10:05,LOW,RULE_ENGINE_MONITORED,1729.24,5,0,100,2,ALLOW,ALLOW,LOW_RISK_SIGNAL_MONITORED|SUSPICIOUS_HOUR_ACTIVITY,NORMAL,0
AUD_TXN_000048,TXN_000048,2026-07-01T00:10:08,CRITICAL,ML_AND_RULE_ENGINE,10302.83,90,99,99,100,LOCK,LOCK,RULE_LOCK|LARGE_AMOUNT_ANOMALY|NEW_BENEFICIARY_RISK|ACCOUNT_TAKEOVER_SIGNAL|HIGH_MERCHANT_RISK|SUSPICIOUS_HOUR_ACTIVITY|FAILED_LOGIN_RISK|HIGH_CONFIDENCE_ML_FRAUD|ML_PREDICTED_FRAUD|ATO_SECURITY_OVERRIDE,ACCOUNT_TAKEOVER,1
AUD_TXN_000049,TXN_000049,2026-07-01T00:10:15,LOW,RULE_ENGINE_MONITORED,642.5,5,1,99,3,ALLOW,ALLOW,LOW_RISK_SIGNAL_MONITORED|SUSPICIOUS_HOUR_ACTIVITY,NORMAL,0
AUD_TXN_000050,TXN_000050,2026-07-01T00:10:18,CRITICAL,ML_AND_RULE_ENGINE,18101.76,100,98,98,100,LOCK,LOCK,RULE_LOCK|LARGE_AMOUNT_ANOMALY|VELOCITY_SPIKE|NEW_BENEFICIARY_RISK|ACCOUNT_TAKEOVER_SIGNAL|SUSPICIOUS_HOUR_ACTIVITY|FAILED_LOGIN_RISK|HIGH_CONFIDENCE_ML_FRAUD|ML_PREDICTED_FRAUD|ATO_SECURITY_OVERRIDE,ACCOUNT_TAKEOVER,1
AUD_TXN_000051,TXN_000051,2026-07-01T00:10:46,MEDIUM,RULE_ENGINE,3077.83,25,2,98,12,WARN,WARN,RULE_WARN|VELOCITY_SPIKE|SUSPICIOUS_HOUR_ACTIVITY,BENIGN_VELOCITY,0
AUD_TXN_000052,TXN_000052,2026-07-01T00:10:51,CRITICAL,ML_AND_RULE_ENGINE,33089.58,80,97,97,99,BLOCK,LOCK,RULE_BLOCK|DAILY_LIMIT_BREACH|LARGE_AMOUNT_ANOMALY|NEW_BENEFICIARY_RISK|HIGH_MERCHANT_RISK|SUSPICIOUS_HOUR_ACTIVITY|HIGH_CONFIDENCE_ML_FRAUD|ML_PREDICTED_FRAUD,RISKY_BENEFICIARY,1
AUD_TXN_000053,TXN_000053,2026-07-01T00:10:52,CRITICAL,ML_AND_RULE_ENGINE,91043.2,55,100,100,90,BLOCK,LOCK,RULE_BLOCK|DAILY_LIMIT_BREACH|LARGE_AMOUNT_ANOMALY|SUSPICIOUS_HOUR_ACTIVITY|HIGH_CONFIDENCE_ML_FRAUD|ML_PREDICTED_FRAUD,HIGH_AMOUNT_RISK,1
AUD_TXN_000054,TXN_000054,2026-07-01T00:10:57,LOW,RULE_ENGINE_MONITORED,5246.98,5,5,95,5,ALLOW,ALLOW,LOW_RISK_SIGNAL_MONITORED|SUSPICIOUS_HOUR_ACTIVITY,NORMAL,0
AUD_TXN_000055,TXN_000055,2026-07-01T00:11:03,LOW,RULE_ENGINE_MONITORED,7038.35,5,1,99,3,ALLOW,ALLOW,LOW_RISK_SIGNAL_MONITORED|SUSPICIOUS_HOUR_ACTIVITY,NORMAL,0
AUD_TXN_000056,TXN_000056,2026-07-01T00:11:17,LOW,RULE_ENGINE_MONITORED,8318.93,5,0,100,2,ALLOW,ALLOW,LOW_RISK_SIGNAL_MONITORED|SUSPICIOUS_HOUR_ACTIVITY,NORMAL,0
AUD_TXN_000057,TXN_000057,2026-07-01T00:11:27,MEDIUM,RULE_ENGINE,3751.19,25,6,94,15,WARN,WARN,RULE_WARN|VELOCITY_SPIKE|SUSPICIOUS_HOUR_ACTIVITY,BENIGN_VELOCITY,0
AUD_TXN_000058,TXN_000058,2026-07-01T00:11:32,LOW,RULE_ENGINE_MONITORED,6090.3,5,7,93,6,ALLOW,ALLOW,LOW_RISK_SIGNAL_MONITORED|SUSPICIOUS_HOUR_ACTIVITY,NORMAL,0
AUD_TXN_000059,TXN_000059,2026-07-01T00:11:48,LOW,RULE_ENGINE_MONITORED,1528.13,5,0,100,2,ALLOW,ALLOW,LOW_RISK_SIGNAL_MONITORED|SUSPICIOUS_HOUR_ACTIVITY,NORMAL,0
AUD_TXN_000060,TXN_000060,2026-07-01T00:12:47,LOW,RULE_ENGINE_MONITORED,3926.57,5,0,100,2,ALLOW,ALLOW,LOW_RISK_SIGNAL_MONITORED|SUSPICIOUS_HOUR_ACTIVITY,NORMAL,0
AUD_TXN_000061,TXN_000061,2026-07-01T00:12:57,CRITICAL,ML_AND_RULE_ENGINE,8142.85,80,100,100,100,LOCK,LOCK,RULE_LOCK|VELOCITY_SPIKE|NEW_BENEFICIARY_RISK|ACCOUNT_TAKEOVER_SIGNAL|SUSPICIOUS_HOUR_ACTIVITY|FAILED_LOGIN_RISK|HIGH_CONFIDENCE_ML_FRAUD|ML_PREDICTED_FRAUD|ATO_SECURITY_OVERRIDE,ACCOUNT_TAKEOVER,1
AUD_TXN_000062,TXN_000062,2026-07-01T00:12:59,LOW,RULE_ENGINE_MONITORED,9296.22,5,2,98,3,ALLOW,ALLOW,LOW_RISK_SIGNAL_MONITORED|SUSPICIOUS_HOUR_ACTIVITY,NORMAL,0
AUD_TXN_000063,TXN_000063,2026-07-01T00:13:51,LOW,RULE_ENGINE_MONITORED,1312.89,5,1,99,3,ALLOW,ALLOW,LOW_RISK_SIGNAL_MONITORED|SUSPICIOUS_HOUR_ACTIVITY,NORMAL,0
AUD_TXN_000064,TXN_000064,2026-07-01T00:14:00,LOW,RULE_ENGINE_MONITORED,8000.75,5,2,98,3,ALLOW,ALLOW,LOW_RISK_SIGNAL_MONITORED|SUSPICIOUS_HOUR_ACTIVITY,NORMAL,0
AUD_TXN_000065,TXN_000065,2026-07-01T00:14:01,LOW,RULE_ENGINE_MONITORED,5649.81,5,6,94,6,ALLOW,ALLOW,LOW_RISK_SIGNAL_MONITORED|SUSPICIOUS_HOUR_ACTIVITY,NORMAL,0
AUD_TXN_000066,TXN_000066,2026-07-01T00:14:23,CRITICAL,ML_AND_RULE_ENGINE,18677.32,100,100,100,100,LOCK,LOCK,RULE_LOCK|LARGE_AMOUNT_ANOMALY|VELOCITY_SPIKE|NEW_BENEFICIARY_RISK|ACCOUNT_TAKEOVER_SIGNAL|SUSPICIOUS_HOUR_ACTIVITY|FAILED_LOGIN_RISK|HIGH_CONFIDENCE_ML_FRAUD|ML_PREDICTED_FRAUD|ATO_SECURITY_OVERRIDE,ACCOUNT_TAKEOVER,1
AUD_TXN_000067,TXN_000067,2026-07-01T00:14:26,LOW,RULE_ENGINE_MONITORED,2077.08,5,1,99,3,ALLOW,ALLOW,LOW_RISK_SIGNAL_MONITORED|SUSPICIOUS_HOUR_ACTIVITY,NORMAL,0
AUD_TXN_000068,TXN_000068,2026-07-01T00:14:27,HIGH,ML_ENGINE,4697.91,15,93,93,58,ALLOW,BLOCK,HIGH_MERCHANT_RISK|SUSPICIOUS_HOUR_ACTIVITY|HIGH_CONFIDENCE_ML_FRAUD|ML_PREDICTED_FRAUD,SUBTLE_FRAUD,1
AUD_TXN_000069,TXN_000069,2026-07-01T00:14:28,LOW,RULE_ENGINE_MONITORED,3907.97,5,0,100,2,ALLOW,ALLOW,LOW_RISK_SIGNAL_MONITORED|SUSPICIOUS_HOUR_ACTIVITY,NORMAL,0
AUD_TXN_000070,TXN_000070,2026-07-01T00:14:44,LOW,RULE_ENGINE_MONITORED,1404.84,5,6,94,6,ALLOW,ALLOW,LOW_RISK_SIGNAL_MONITORED|SUSPICIOUS_HOUR_ACTIVITY,NORMAL,0
AUD_TXN_000071,TXN_000071,2026-07-01T00:14:58,HIGH,ML_ENGINE,6698.45,5,99,99,57,ALLOW,BLOCK,SUSPICIOUS_HOUR_ACTIVITY|HIGH_CONFIDENCE_ML_FRAUD|ML_PREDICTED_FRAUD,SUBTLE_FRAUD,1
AUD_TXN_000072,TXN_000072,2026-07-01T00:15:11,LOW,RULE_ENGINE_MONITORED,2203.53,5,0,100,2,ALLOW,ALLOW,LOW_RISK_SIGNAL_MONITORED|SUSPICIOUS_HOUR_ACTIVITY,NORMAL,0
AUD_TXN_000073,TXN_000073,2026-07-01T00:15:28,LOW,RULE_ENGINE_MONITORED,1622.99,5,0,100,2,ALLOW,ALLOW,LOW_RISK_SIGNAL_MONITORED|SUSPICIOUS_HOUR_ACTIVITY,NORMAL,0
AUD_TXN_000074,TXN_000074,2026-07-01T00:15:46,LOW,RULE_ENGINE_MONITORED,2663.47,5,0,100,2,ALLOW,ALLOW,LOW_RISK_SIGNAL_MONITORED|SUSPICIOUS_HOUR_ACTIVITY,NORMAL,0
AUD_TXN_000075,TXN_000075,2026-07-01T00:16:17,MEDIUM,RULE_ENGINE,1366.84,25,9,91,16,WARN,WARN,RULE_WARN|VELOCITY_SPIKE|SUSPICIOUS_HOUR_ACTIVITY,BENIGN_VELOCITY,0
AUD_TXN_000076,TXN_000076,2026-07-01T00:16:23,LOW,RULE_ENGINE_MONITORED,772.44,5,0,100,2,ALLOW,ALLOW,LOW_RISK_SIGNAL_MONITORED|SUSPICIOUS_HOUR_ACTIVITY,NORMAL,0
AUD_TXN_000077,TXN_000077,2026-07-01T00:16:24,LOW,RULE_ENGINE_MONITORED,4355.59,5,3,97,4,ALLOW,ALLOW,LOW_RISK_SIGNAL_MONITORED|SUSPICIOUS_HOUR_ACTIVITY,NORMAL,0
AUD_TXN_000078,TXN_000078,2026-07-01T00:16:38,LOW,RULE_ENGINE_MONITORED,2815.52,5,0,100,2,ALLOW,ALLOW,LOW_RISK_SIGNAL_MONITORED|SUSPICIOUS_HOUR_ACTIVITY,NORMAL,0
AUD_TXN_000079,TXN_000079,2026-07-01T00:16:51,CRITICAL,ML_AND_RULE_ENGINE,8081.28,100,100,100,100,LOCK,LOCK,RULE_LOCK|LARGE_AMOUNT_ANOMALY|VELOCITY_SPIKE|NEW_BENEFICIARY_RISK|ACCOUNT_TAKEOVER_SIGNAL|HIGH_MERCHANT_RISK|SUSPICIOUS_HOUR_ACTIVITY|FAILED_LOGIN_RISK|HIGH_CONFIDENCE_ML_FRAUD|ML_PREDICTED_FRAUD|ATO_SECURITY_OVERRIDE,ACCOUNT_TAKEOVER,1
AUD_TXN_000080,TXN_000080,2026-07-01T00:17:09,LOW,RULE_ENGINE_MONITORED,3992.77,5,3,97,4,ALLOW,ALLOW,LOW_RISK_SIGNAL_MONITORED|SUSPICIOUS_HOUR_ACTIVITY,NORMAL,0
AUD_TXN_000081,TXN_000081,2026-07-01T00:18:02,LOW,RULE_ENGINE_MONITORED,10001.74,5,9,91,7,ALLOW,ALLOW,LOW_RISK_SIGNAL_MONITORED|SUSPICIOUS_HOUR_ACTIVITY,NORMAL,0
AUD_TXN_000082,TXN_000082,2026-07-01T00:18:07,LOW,RULE_ENGINE_MONITORED,4444.24,5,0,100,2,ALLOW,ALLOW,LOW_RISK_SIGNAL_MONITORED|SUSPICIOUS_HOUR_ACTIVITY,NORMAL,0
AUD_TXN_000083,TXN_000083,2026-07-01T00:18:58,LOW,RULE_ENGINE_MONITORED,1924.94,5,1,99,3,ALLOW,ALLOW,LOW_RISK_SIGNAL_MONITORED|SUSPICIOUS_HOUR_ACTIVITY,NORMAL,0
AUD_TXN_000084,TXN_000084,2026-07-01T00:19:05,LOW,RULE_ENGINE_MONITORED,1982.92,5,0,100,2,ALLOW,ALLOW,LOW_RISK_SIGNAL_MONITORED|SUSPICIOUS_HOUR_ACTIVITY,NORMAL,0
AUD_TXN_000085,TXN_000085,2026-07-01T00:19:19,LOW,RULE_ENGINE_MONITORED,2642.76,5,0,100,2,ALLOW,ALLOW,LOW_RISK_SIGNAL_MONITORED|SUSPICIOUS_HOUR_ACTIVITY,NORMAL,0
