transaction_id,daily_limit_breach,velocity_spike,large_amount_anomaly,new_beneficiary_risk,account_takeover_signal,high_merchant_risk,failed_login_risk,rule_risk_score,ml_fraud_score,model_confidence,autoencoder_anomaly_score,isolation_forest_anomaly_score,final_risk_score,final_action_code,final_action
TXN_000047,0,0,0,0,0,0,0,5,0,100,3,13,5,0,ALLOW
TXN_000048,0,0,1,1,1,1,1,90,99,99,67,94,100,3,LOCK
TXN_000049,0,0,0,0,0,0,0,5,1,99,4,26,8,0,ALLOW
TXN_000050,0,1,1,1,1,0,1,100,98,98,100,100,100,3,LOCK
TXN_000051,0,1,0,0,0,0,0,25,2,98,2,22,14,1,WARN
TXN_000052,1,0,1,1,0,1,0,80,97,97,31,93,100,3,LOCK
TXN_000053,1,0,1,0,0,0,0,55,100,100,100,89,100,3,LOCK
TXN_000054,0,0,0,0,0,0,0,5,5,95,5,30,11,0,ALLOW
TXN_000055,0,0,0,0,0,0,0,5,1,99,1,24,8,0,ALLOW
TXN_000056,0,0,0,0,0,0,0,5,0,100,7,24,8,0,ALLOW
TXN_000057,0,1,0,0,0,0,0,25,6,94,3,50,23,1,WARN
TXN_000058,0,0,0,0,0,0,0,5,7,93,12,60,20,0,ALLOW
TXN_000059,0,0,0,0,0,0,0,5,0,100,2,10,4,0,ALLOW
TXN_000060,0,0,0,0,0,0,0,5,0,100,10,20,6,0,ALLOW
TXN_000061,0,1,0,1,1,0,1,80,100,100,100,91,100,3,LOCK
TXN_000062,0,0,0,0,0,0,0,5,2,98,7,28,9,0,ALLOW
TXN_000063,0,0,0,0,0,0,0,5,1,99,2,38,11,0,ALLOW
TXN_000064,0,0,0,0,0,0,0,5,2,98,9,39,12,0,ALLOW
TXN_000065,0,0,0,0,0,0,0,5,6,94,9,36,13,0,ALLOW
TXN_000066,0,1,1,1,1,0,1,100,100,100,100,100,100,3,LOCK
TXN_000067,0,0,0,0,0,0,0,5,1,99,7,32,10,0,ALLOW
TXN_000068,0,0,0,0,0,1,0,15,93,93,30,32,54,2,BLOCK
TXN_000069,0,0,0,0,0,0,0,5,0,100,4,19,6,0,ALLOW
TXN_000070,0,0,0,0,0,0,0,5,6,94,4,36,13,0,ALLOW
TXN_000071,0,0,0,0,0,0,0,5,99,99,17,95,70,2,BLOCK
TXN_000072,0,0,0,0,0,0,0,5,0,100,2,12,4,0,ALLOW
TXN_000073,0,0,0,0,0,0,0,5,0,100,4,11,4,0,ALLOW
TXN_000074,0,0,0,0,0,0,0,5,0,100,13,34,10,0,ALLOW
TXN_000075,0,1,0,0,0,0,0,25,9,91,6,38,21,1,WARN
TXN_000076,0,0,0,0,0,0,0,5,0,100,5,14,5,0,ALLOW
TXN_000077,0,0,0,0,0,0,0,5,3,97,5,16,7,0,ALLOW
TXN_000078,0,0,0,0,0,0,0,5,0,100,1,17,6,0,ALLOW
TXN_000079,0,1,1,1,1,1,1,100,100,100,100,94,100,3,LOCK
TXN_000080,0,0,0,0,0,0,0,5,3,97,6,37,12,0,ALLOW
TXN_000081,0,0,0,0,0,0,0,5,9,91,4,36,15,0,ALLOW
TXN_000082,0,0,0,0,0,0,0,5,0,100,3,18,6,0,ALLOW
TXN_000083,0,0,0,0,0,0,0,5,1,99,9,24,8,0,ALLOW
TXN_000084,0,0,0,0,0,0,0,5,0,100,2,7,3,0,ALLOW
TXN_000085,0,0,0,0,0,0,0,5,0,100,6,16,6,0,ALLOW
TXN_000086,0,0,1,1,0,1,0,50,97,97,21,85,85,2,BLOCK
TXN_000087,0,0,0,0,0,0,0,5,0,100,1,17,6,0,ALLOW
TXN_000088,0,0,0,0,0,0,0,5,0,100,9,28,8,0,ALLOW
TXN_000089,0,0,0,0,0,0,0,5,0,100,7,13,5,0,ALLOW
TXN_000090,0,0,0,0,0,0,0,5,18,82,3,16,14,0,ALLOW
TXN_000091,1,1,1,1,1,1,1,100,100,100,100,100,100,3,LOCK
TXN_000092,0,0,0,0,0,0,0,5,0,100,5,20,6,0,ALLOW
TXN_000093,0,0,0,0,0,0,0,5,0,100,2,13,5,0,ALLOW
TXN_000094,1,0,1,0,0,0,0,55,100,100,100,97,100,3,LOCK
TXN_000095,0,1,1,1,1,0,1,100,100,100,100,100,100,3,LOCK
TXN_000096,0,0,1,1,0,1,0,50,99,99,20,96,89,2,BLOCK
TXN_000097,1,1,1,0,0,1,0,85,100,100,100,100,100,3,LOCK
TXN_000098,0,0,0,0,0,0,0,5,0,100,3,26,8,0,ALLOW
TXN_000099,0,0,0,0,0,0,0,5,0,100,5,13,5,0,ALLOW
TXN_000100,0,0,0,0,0,0,0,5,2,98,3,15,6,0,ALLOW
TXN_000101,0,0,0,0,0,0,0,5,19,81,3,28,17,0,ALLOW
TXN_000102,0,0,0,0,0,0,0,5,0,100,5,20,6,0,ALLOW
TXN_000103,0,0,0,0,0,0,0,5,2,98,6,44,13,0,ALLOW
TXN_000104,0,0,0,0,0,0,0,5,94,94,14,58,58,2,BLOCK
TXN_000105,0,0,0,0,0,0,0,5,0,100,7,14,5,0,ALLOW
TXN_000106,0,0,0,0,0,0,0,5,0,100,7,14,5,0,ALLOW
TXN_000107,0,0,0,0,0,0,0,5,1,99,5,43,13,0,ALLOW
TXN_000108,0,0,0,0,0,0,0,5,0,100,3,19,6,0,ALLOW
TXN_000109,0,0,0,0,0,0,0,5,0,100,7,39,11,0,ALLOW
TXN_000110,0,0,0,0,0,0,0,5,0,100,2,25,8,0,ALLOW
TXN_000111,0,0,0,0,0,0,0,5,1,99,4,15,6,0,ALLOW
TXN_000112,0,0,0,0,0,0,0,5,5,95,4,34,12,0,ALLOW
TXN_000113,0,0,0,0,0,0,0,5,1,99,6,26,8,0,ALLOW
TXN_000114,0,0,1,1,0,1,0,50,97,97,31,84,80,2,BLOCK
TXN_000115,0,0,0,0,1,1,1,55,100,100,100,98,100,3,LOCK
TXN_000116,0,0,0,0,0,0,0,5,0,100,17,32,10,0,ALLOW
TXN_000117,0,0,0,0,0,0,0,5,1,99,7,30,9,0,ALLOW
TXN_000118,0,0,0,0,0,0,0,5,1,99,7,22,7,0,ALLOW
TXN_000119,0,0,0,0,0,0,0,5,1,99,7,16,6,0,ALLOW
TXN_000120,0,0,0,0,0,0,0,5,1,99,8,21,7,0,ALLOW
TXN_000121,0,1,0,0,0,0,0,25,94,94,17,63,66,2,BLOCK
TXN_000122,0,1,0,1,1,1,1,90,100,100,100,93,100,3,LOCK
TXN_000123,0,0,0,0,0,0,0,5,0,100,2,16,6,0,ALLOW
TXN_000124,0,0,0,0,0,0,0,5,0,100,3,20,6,0,ALLOW
TXN_000125,0,0,0,0,0,0,0,5,0,100,1,11,4,0,ALLOW
TXN_000126,0,0,0,0,0,0,0,5,1,99,1,52,15,0,ALLOW
TXN_000127,0,0,0,0,0,0,0,5,0,100,2,12,4,0,ALLOW
TXN_000128,0,0,0,0,0,0,0,5,92,92,15,56,57,2,BLOCK
TXN_000129,0,0,0,0,0,0,0,5,2,98,8,15,6,0,ALLOW
TXN_000130,0,0,0,1,0,0,0,20,100,100,100,97,84,3,LOCK
TXN_000131,0,0,0,0,0,0,0,5,0,100,4,10,4,0,ALLOW
TXN_000132,0,1,1,1,1,1,1,100,100,100,100,100,100,3,LOCK
TXN_000133,0,0,0,0,0,0,0,5,0,100,1,53,15,0,ALLOW
TXN_000134,0,0,0,0,0,0,0,5,0,100,10,14,5,0,ALLOW
TXN_000135,1,0,0,1,1,0,1,90,100,100,100,100,100,3,LOCK
TXN_000136,0,0,0,0,0,0,0,5,0,100,1,25,8,0,ALLOW
TXN_000137,0,0,0,0,0,0,0,5,4,96,12,40,13,0,ALLOW
TXN_000138,0,0,0,0,0,0,0,5,0,100,2,53,15,0,ALLOW
TXN_000139,0,0,0,0,0,0,0,5,3,97,5,25,9,0,ALLOW
TXN_000140,0,0,0,0,0,0,0,5,0,100,7,17,6,0,ALLOW
TXN_000141,0,0,0,0,0,0,0,5,2,98,5,24,8,0,ALLOW
TXN_000142,0,0,0,0,0,0,0,5,6,94,10,52,17,0,ALLOW
TXN_000143,0,0,0,0,0,0,0,5,96,96,32,37,54,2,BLOCK
TXN_000144,1,1,1,1,1,1,1,100,100,100,100,100,100,3,LOCK
TXN_000145,0,0,0,0,0,0,0,5,3,97,5,37,12,0,ALLOW
TXN_000146,0,0,0,0,0,0,0,5,1,99,8,23,8,0,ALLOW
TXN_000147,0,0,0,0,0,0,0,5,0,100,3,23,7,0,ALLOW
TXN_000148,1,0,1,0,0,0,0,55,99,99,100,100,100,3,LOCK
TXN_000149,0,0,0,0,0,0,0,5,2,98,4,13,6,0,ALLOW
TXN_000150,0,0,0,0,0,1,0,15,95,95,27,55,61,2,BLOCK
TXN_000151,0,0,0,0,0,0,0,5,0,100,10,20,6,0,ALLOW
TXN_000152,1,0,1,1,1,1,1,100,100,100,100,100,100,3,LOCK
TXN_000153,0,1,0,0,0,0,0,25,10,90,4,62,28,1,WARN
TXN_000154,0,0,0,0,0,0,0,5,0,100,4,32,10,0,ALLOW
TXN_000155,0,0,0,0,0,0,0,5,0,100,2,18,6,0,ALLOW
TXN_000156,0,0,0,0,0,0,0,5,4,96,7,32,11,0,ALLOW
TXN_000157,1,0,1,0,0,0,0,55,99,99,100,79,100,3,LOCK
TXN_000158,1,0,1,0,0,0,0,55,100,100,100,100,100,3,LOCK
TXN_000159,1,0,1,0,0,1,0,65,100,100,100,88,100,3,LOCK
TXN_000160,0,0,0,0,0,0,0,5,7,93,1,30,12,0,ALLOW
TXN_000161,0,1,0,0,0,1,0,35,96,96,33,64,70,2,BLOCK
TXN_000162,0,0,0,0,0,0,0,5,91,91,15,68,59,2,BLOCK
TXN_000163,0,0,0,0,0,0,0,5,1,99,12,13,5,0,ALLOW
TXN_000164,0,0,1,1,1,0,1,80,100,100,100,100,100,3,LOCK
TXN_000165,0,0,0,0,0,0,0,5,1,99,10,17,6,0,ALLOW
TXN_000166,0,0,0,0,0,0,0,5,1,99,2,57,16,0,ALLOW
TXN_000167,0,0,0,0,0,0,0,5,0,100,2,37,11,0,ALLOW
TXN_000168,0,0,0,0,0,0,0,5,1,99,5,48,14,0,ALLOW
TXN_000169,0,0,0,0,0,0,0,5,7,93,6,23,10,0,ALLOW
TXN_000170,0,0,0,0,0,0,0,5,7,93,11,44,16,0,ALLOW
TXN_000171,1,0,1,0,0,0,0,55,100,100,100,94,100,3,LOCK
TXN_000172,0,0,0,1,0,1,0,30,100,100,65,100,79,2,BLOCK
TXN_000173,1,0,0,1,0,0,0,50,100,100,59,97,99,3,LOCK
TXN_000174,1,0,1,0,0,1,0,65,100,100,60,91,100,3,LOCK
TXN_000175,0,0,0,0,0,0,0,5,0,100,2,22,7,0,ALLOW
TXN_000176,0,0,0,0,0,0,0,5,1,99,2,19,7,0,ALLOW
TXN_000177,0,0,0,0,0,0,0,5,1,99,2,17,6,0,ALLOW
TXN_000178,0,0,0,0,0,0,0,5,12,88,36,76,26,1,WARN
TXN_000179,0,0,0,0,0,0,0,5,99,99,26,75,65,2,BLOCK
TXN_000180,0,0,0,0,0,0,0,5,4,96,5,33,12,0,ALLOW
TXN_000181,1,0,1,0,0,0,0,55,100,100,100,94,100,3,LOCK
TXN_000182,0,0,0,0,0,0,0,5,2,98,2,17,7,0,ALLOW
TXN_000183,0,0,0,0,0,0,0,5,3,97,5,43,14,0,ALLOW
TXN_000184,0,0,0,0,0,0,0,5,2,98,5,26,9,0,ALLOW
TXN_000185,0,0,0,0,0,0,0,5,1,99,7,14,5,0,ALLOW
TXN_000186,0,0,0,0,0,0,0,5,91,91,15,32,50,2,BLOCK
TXN_000187,0,0,0,0,0,0,0,5,47,53,13,71,36,1,WARN
TXN_000188,0,1,0,0,1,0,1,65,99,99,100,89,100,3,LOCK
TXN_000189,0,0,0,0,0,0,0,5,0,100,4,20,6,0,ALLOW
TXN_000190,0,0,0,0,0,0,0,5,4,96,5,25,10,0,ALLOW
TXN_000191,0,0,0,0,0,0,0,5,0,100,4,41,12,0,ALLOW
TXN_000192,0,0,0,0,0,0,0,5,0,100,1,16,6,0,ALLOW
TXN_000193,0,0,0,0,0,0,0,5,0,100,5,15,5,0,ALLOW
TXN_000194,0,1,0,1,1,0,1,80,100,100,100,97,100,3,LOCK
TXN_000195,0,0,0,0,0,0,0,5,1,99,4,19,7,0,ALLOW
TXN_000196,0,0,0,0,0,0,0,5,31,69,4,49,26,0,ALLOW
TXN_000197,0,0,0,0,0,0,0,5,2,98,8,47,14,0,ALLOW
TXN_000198,0,0,0,0,0,0,0,5,6,94,8,35,13,0,ALLOW
TXN_000199,0,0,0,0,0,0,0,5,0,100,4,25,8,0,ALLOW
TXN_000200,0,0,0,1,0,1,0,30,99,99,56,94,77,2,BLOCK
TXN_000201,0,0,0,0,0,0,0,5,2,98,2,25,9,0,ALLOW
TXN_000202,0,0,0,0,0,0,0,5,0,100,4,13,5,0,ALLOW
TXN_000203,0,0,0,0,0,0,0,5,4,96,3,40,13,0,ALLOW
TXN_000204,0,0,0,0,0,0,0,5,1,99,1,23,8,0,ALLOW
TXN_000205,0,1,0,1,1,1,1,90,99,99,100,100,100,3,LOCK
TXN_000206,0,0,0,0,0,0,0,5,0,100,2,15,5,0,ALLOW
TXN_000207,0,0,0,0,0,0,0,5,0,100,7,23,7,0,ALLOW
TXN_000208,1,0,1,0,0,0,0,55,100,100,100,81,100,3,LOCK
TXN_000209,0,0,0,0,0,0,0,5,0,100,5,15,5,0,ALLOW
TXN_000210,0,0,0,0,0,0,0,5,0,100,1,15,5,0,ALLOW
TXN_000211,0,0,0,0,0,0,0,5,4,96,0,22,9,0,ALLOW
TXN_000212,1,0,1,0,0,0,0,55,100,100,100,91,100,3,LOCK
TXN_000213,0,1,0,0,0,0,0,25,10,90,9,48,24,1,WARN
TXN_000214,0,0,0,0,0,0,0,5,1,99,9,21,7,0,ALLOW
TXN_000215,0,0,0,0,0,0,0,5,3,97,6,45,14,0,ALLOW
TXN_000216,0,0,0,0,0,0,0,5,5,95,2,56,18,0,ALLOW
TXN_000217,0,1,1,1,1,1,1,100,100,100,100,100,100,3,LOCK
TXN_000218,0,0,0,0,0,0,0,5,2,98,9,15,6,0,ALLOW
TXN_000219,0,0,0,0,0,0,0,5,1,99,5,18,6,0,ALLOW
TXN_000220,0,0,0,0,0,0,0,5,0,100,3,8,4,0,ALLOW
TXN_000221,0,0,0,0,0,0,0,5,1,99,4,15,6,0,ALLOW
TXN_000222,0,0,0,0,0,0,0,5,1,99,9,24,8,0,ALLOW
TXN_000223,0,0,0,0,0,0,0,5,7,93,12,53,18,0,ALLOW
TXN_000224,0,0,0,0,0,0,0,5,1,99,7,21,7,0,ALLOW
TXN_000225,0,0,0,0,0,0,0,5,0,100,8,28,8,0,ALLOW
TXN_000226,0,0,0,0,0,0,0,5,2,98,6,28,9,0,ALLOW
TXN_000227,0,0,0,1,1,1,1,70,100,100,100,100,100,3,LOCK
TXN_000228,0,0,0,0,0,0,0,5,82,82,64,84,59,1,WARN
TXN_000229,0,0,0,0,0,0,0,5,0,100,5,24,8,0,ALLOW
TXN_000230,0,1,1,1,1,1,1,100,100,100,100,100,100,3,LOCK
TXN_000231,0,0,0,0,0,0,0,5,0,100,15,45,13,0,ALLOW
TXN_000232,0,0,1,1,0,1,0,50,96,96,21,81,78,2,BLOCK
TXN_000233,0,0,0,0,0,0,0,5,4,96,11,48,15,0,ALLOW
TXN_000234,0,1,0,0,0,0,0,25,94,94,44,51,63,2,BLOCK
TXN_000235,0,0,0,0,0,0,0,5,1,99,5,25,8,0,ALLOW
TXN_000236,0,0,0,0,0,0,0,5,0,100,3,14,5,0,ALLOW
TXN_000237,0,0,0,0,0,0,0,5,93,93,15,44,54,2,BLOCK
TXN_000238,0,0,0,0,0,0,0,5,1,99,7,13,5,0,ALLOW
TXN_000239,0,0,0,0,0,0,0,5,11,89,11,53,20,0,ALLOW
TXN_000240,0,1,0,0,0,0,0,25,7,93,3,54,24,1,WARN
TXN_000241,0,0,0,0,0,0,0,5,0,100,6,17,6,0,ALLOW
TXN_000242,0,1,0,0,0,0,0,25,18,82,7,39,25,1,WARN
TXN_000243,0,0,0,0,0,0,0,5,1,99,6,26,8,0,ALLOW
TXN_000244,0,1,0,0,0,0,0,25,3,97,13,50,21,1,WARN
TXN_000245,0,0,0,0,0,0,0,5,6,94,12,45,15,0,ALLOW
TXN_000246,0,0,0,0,0,0,0,5,0,100,8,26,8,0,ALLOW
TXN_000247,0,0,0,0,0,0,0,5,2,98,6,15,6,0,ALLOW
TXN_000248,0,1,0,0,0,0,0,25,34,66,6,31,30,1,WARN
TXN_000249,0,0,0,0,0,0,0,5,4,96,8,32,11,0,ALLOW
TXN_000250,1,1,1,1,1,1,1,100,100,100,100,100,100,3,LOCK
TXN_000251,0,0,0,0,0,0,0,5,0,100,1,13,5,0,ALLOW
TXN_000252,0,0,0,0,0,0,0,5,1,99,6,23,8,0,ALLOW
TXN_000253,0,0,0,0,0,0,0,5,4,96,13,29,11,0,ALLOW
TXN_000254,0,0,0,0,0,0,0,5,1,99,4,33,10,0,ALLOW
TXN_000255,1,0,1,0,0,1,0,65,100,100,100,87,100,3,LOCK
TXN_000256,0,0,0,0,0,0,0,5,94,94,9,58,58,2,BLOCK
TXN_000257,0,0,0,0,0,0,0,5,0,100,6,28,8,0,ALLOW
TXN_000258,0,0,0,0,0,0,0,5,1,99,12,22,7,0,ALLOW
TXN_000259,0,0,0,0,0,0,0,5,0,100,7,27,8,0,ALLOW
TXN_000260,0,0,0,0,0,0,0,5,0,100,9,14,5,0,ALLOW
TXN_000261,0,0,0,0,0,0,0,5,0,100,4,14,5,0,ALLOW
TXN_000262,0,0,0,0,0,0,0,5,23,77,2,51,25,0,ALLOW
TXN_000263,0,0,0,0,0,0,0,5,0,100,6,24,8,0,ALLOW
TXN_000264,0,0,0,0,0,0,0,5,1,99,13,21,7,0,ALLOW
TXN_000265,0,0,0,0,0,0,0,5,0,100,9,18,6,0,ALLOW
TXN_000266,0,1,0,0,1,1,1,75,100,100,100,95,100,3,LOCK
TXN_000267,0,0,0,0,0,0,0,5,6,94,5,50,17,0,ALLOW
TXN_000268,0,0,0,0,0,0,0,5,0,100,12,12,4,0,ALLOW
TXN_000269,0,0,0,0,0,0,0,5,46,54,9,92,44,1,WARN
TXN_000270,0,0,0,0,0,0,0,5,2,98,3,21,8,0,ALLOW
TXN_000271,0,0,0,0,0,0,0,5,97,97,14,56,59,2,BLOCK
TXN_000272,0,0,0,0,0,0,0,5,1,99,5,33,10,0,ALLOW
TXN_000273,0,0,0,0,0,0,0,5,6,94,7,41,14,0,ALLOW
TXN_000274,1,1,0,1,1,1,1,100,100,100,100,100,100,3,LOCK
TXN_000275,1,0,1,0,0,1,0,65,100,100,100,84,100,3,LOCK
TXN_000276,0,1,0,1,1,0,1,80,100,100,100,98,100,3,LOCK
TXN_000277,1,1,1,0,0,1,1,95,100,100,100,99,100,3,LOCK
TXN_000278,0,0,1,1,0,1,1,60,99,99,31,70,80,2,BLOCK
TXN_000279,0,1,0,0,0,0,0,25,84,84,22,48,57,1,WARN
TXN_000280,0,0,0,0,0,0,0,5,83,83,10,77,58,1,WARN
TXN_000281,0,0,0,0,0,0,0,5,0,100,1,6,3,0,ALLOW
TXN_000282,0,0,0,0,0,0,0,5,0,100,2,12,4,0,ALLOW
TXN_000283,0,0,1,1,0,1,0,50,99,99,19,69,77,2,BLOCK
TXN_000284,1,1,1,1,1,1,1,100,100,100,100,100,100,3,LOCK
TXN_000285,0,1,0,1,1,0,1,80,100,100,100,100,100,3,LOCK
TXN_000286,0,0,0,0,0,0,0,5,97,97,19,59,60,2,BLOCK
TXN_000287,0,0,0,0,0,1,0,15,91,91,30,63,61,2,BLOCK
TXN_000288,0,0,0,0,0,0,0,5,0,100,3,24,8,0,ALLOW
TXN_000289,0,0,0,0,0,0,0,5,0,100,6,17,6,0,ALLOW
TXN_000290,0,0,0,0,0,0,0,5,0,100,8,46,13,0,ALLOW
TXN_000291,0,0,0,0,0,0,0,5,6,94,11,50,17,0,ALLOW
TXN_000292,0,0,0,0,0,0,0,5,0,100,4,12,4,0,ALLOW
TXN_000293,0,0,0,0,0,0,0,5,0,100,3,29,9,0,ALLOW
TXN_000294,0,0,0,0,0,0,0,5,0,100,7,21,7,0,ALLOW
TXN_000295,0,0,0,0,0,0,0,5,0,100,5,22,7,0,ALLOW
TXN_000296,1,0,1,0,0,0,0,55,100,100,100,75,100,3,LOCK
TXN_000297,0,0,1,1,0,1,0,50,97,97,18,70,76,2,BLOCK
TXN_000298,0,0,0,0,0,0,0,5,0,100,6,32,10,0,ALLOW
TXN_000299,0,0,0,0,0,0,0,5,0,100,2,16,6,0,ALLOW
TXN_000300,0,0,0,0,0,0,0,5,0,100,4,21,7,0,ALLOW
TXN_000301,0,0,0,0,0,0,0,5,1,99,4,28,9,0,ALLOW
TXN_000302,1,1,1,1,0,1,0,100,100,100,100,100,100,3,LOCK
TXN_000303,0,0,0,0,0,0,0,5,1,99,2,62,17,0,ALLOW
TXN_000304,0,0,0,0,0,0,0,5,0,100,5,23,7,0,ALLOW
TXN_000305,0,0,0,1,1,1,1,70,100,100,75,93,100,3,LOCK
TXN_000306,0,0,0,0,0,1,0,15,93,93,18,30,54,2,BLOCK
TXN_000307,1,1,1,1,1,1,1,100,100,100,100,100,100,3,LOCK
TXN_000308,0,0,0,0,0,0,0,5,2,98,2,11,5,0,ALLOW
TXN_000309,0,0,1,0,0,0,0,25,4,96,6,45,21,1,WARN
TXN_000310,0,0,0,0,0,0,0,5,0,100,4,19,6,0,ALLOW
TXN_000311,0,0,0,0,0,0,0,5,97,97,13,63,61,2,BLOCK
TXN_000312,0,0,0,0,0,0,0,5,0,100,5,23,7,0,ALLOW
TXN_000313,0,0,1,1,1,1,1,90,100,100,100,100,100,3,LOCK
TXN_000314,0,0,0,0,0,0,0,5,1,99,3,16,6,0,ALLOW
TXN_000315,0,0,0,0,0,0,0,5,0,100,10,19,6,0,ALLOW
TXN_000316,0,0,0,0,0,0,0,5,13,87,6,35,16,0,ALLOW
TXN_000317,1,1,1,1,1,1,1,100,100,100,100,100,100,3,LOCK
TXN_000318,0,0,0,0,0,0,0,5,4,96,3,40,13,0,ALLOW
TXN_000319,0,0,0,0,0,0,0,5,1,99,2,16,6,0,ALLOW
TXN_000320,0,0,0,0,0,0,0,5,0,100,5,21,7,0,ALLOW
TXN_000321,0,1,0,1,1,1,1,90,100,100,100,95,100,3,LOCK
TXN_000322,0,0,0,0,0,0,0,5,0,100,8,17,6,0,ALLOW
TXN_000323,0,0,0,0,0,0,0,5,0,100,7,18,6,0,ALLOW
TXN_000324,0,0,0,0,0,0,0,5,99,99,30,60,61,2,BLOCK
TXN_000325,0,0,0,0,1,0,1,45,100,100,100,93,100,3,LOCK
TXN_000326,0,1,0,1,1,1,1,90,100,100,100,93,100,3,LOCK
TXN_000327,0,0,0,0,0,0,0,5,0,100,4,10,4,0,ALLOW
TXN_000328,1,0,1,0,0,0,0,55,100,100,100,75,100,3,LOCK
TXN_000329,1,0,1,0,0,0,0,55,100,100,100,77,100,3,LOCK
TXN_000330,0,0,0,0,0,0,0,5,0,100,4,21,7,0,ALLOW
TXN_000331,0,1,0,1,1,0,1,80,100,100,100,100,100,3,LOCK
TXN_000332,0,0,0,0,0,0,0,5,0,100,7,22,7,0,ALLOW
TXN_000333,0,0,0,0,0,0,0,5,0,100,4,28,8,0,ALLOW
TXN_000334,0,0,0,0,0,0,0,5,3,97,6,23,9,0,ALLOW
TXN_000335,0,0,1,1,1,0,1,80,100,100,100,100,100,3,LOCK
TXN_000336,0,1,0,0,0,0,0,25,98,98,100,73,85,3,LOCK
